dataset,budget_pct,method,scoring_completion_rate,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,score_sec_mean,sort_sec_mean,priority_total_sec_mean,average_unlearn_sec_mean
Criteo Attribution,25.0,Leverage,1.0,0.18123947399156437,0.1908083470197544,0.19994352635037116,2.640864839959153e-08,11.933333333333334,0.2537081317024624,0.00023950833333333328,3.823156155391221e-06,0.0002276393333333334,3.914255667805848e-06,3.386666666666667e-05,3.2266666666666665e-06,3.709333333333334e-05,1.5967222222222223e-05
Criteo Attribution,50.0,Leverage,1.0,0.5413561600834831,0.12964739163136657,0.19994354493513952,3.529402238106218e-08,26.933333333333334,0.2537081317024624,0.00047901666666666656,7.646312310782442e-06,0.0004671476666666666,7.4063436437004824e-06,3.386666666666667e-05,3.2266666666666665e-06,3.709333333333334e-05,1.5967222222222223e-05
Criteo Attribution,75.0,Leverage,1.0,0.7693180233732757,0.1398430860830463,0.19994355840440511,4.3322211356164014e-08,41.93333333333333,0.2537081317024625,0.000718525,1.146946846617366e-05,0.000706656,1.1118430684283905e-05,3.386666666666667e-05,3.2266666666666665e-06,3.709333333333334e-05,1.5967222222222223e-05
Criteo Attribution,100.0,Leverage,1.0,0.9697846428945994,0.021914712351523563,0.19994356654603712,4.326090449384516e-08,56.93333333333333,0.2537081317024625,0.0009580333333333331,1.5292624621564885e-05,0.000946164333333333,1.4886843908998363e-05,3.386666666666667e-05,3.2266666666666665e-06,3.709333333333334e-05,1.5967222222222223e-05
Criteo Attribution,10.0,Residual,1.0,0.10845456198698829,0.154213237433874,0.19994354727812805,1.7411266243092512e-08,2.933333333333333,0.2537081317024624,9.580333333333334e-05,1.5292624621564863e-06,8.68442777777778e-05,1.204797695560797e-06,3.686e-05,3.139999999999999e-06,4e-05,1.5967222222222223e-05
Criteo Attribution,25.0,Residual,1.0,0.37722369401170686,0.17470277988605512,0.1999435980685572,3.963119463931628e-08,11.933333333333334,0.2537081317024625,0.00023950833333333328,3.823156155391221e-06,0.0002305492777777778,3.2222847633975506e-06,3.686e-05,3.139999999999999e-06,4e-05,1.5967222222222223e-05
Criteo Attribution,50.0,Residual,1.0,0.7053379898327153,0.1061796748814149,0.19994361411055694,4.9953656108291106e-08,26.933333333333334,0.2537081317024625,0.00047901666666666656,7.646312310782442e-06,0.00047005761111111106,6.975351261885827e-06,3.686e-05,3.139999999999999e-06,4e-05,1.5967222222222223e-05
Criteo Attribution,75.0,Residual,1.0,0.909217245538903,0.03902207134521393,0.19994358617767588,5.041156486263533e-08,41.93333333333333,0.2537081317024625,0.000718525,1.146946846617366e-05,0.0007095659444444443,1.0777800208482793e-05,3.686e-05,3.139999999999999e-06,4e-05,1.5967222222222223e-05
Criteo Attribution,100.0,Residual,1.0,0.9974930305622218,0.0015014669947559813,0.1999435667324002,5.1203604700068005e-08,56.93333333333333,0.2537081317024625,0.0009580333333333331,1.5292624621564885e-05,0.0009490742777777779,1.4591075197471327e-05,3.686e-05,3.139999999999999e-06,4e-05,1.5967222222222223e-05
Criteo Attribution,10.0,Random,1.0,0.1553160224067284,0.12902985601274514,0.19994353713810337,1.7187790060270964e-08,6.0,0.0,9.580333333333334e-05,1.5292624621564863e-06,9.580333333333334e-05,1.5292624621564863e-06,0.0,0.0,0.0,1.5967222222222223e-05
Criteo Attribution,25.0,Random,1.0,0.28981024638053593,0.20402284801975357,0.19994354090239788,3.0573461360319924e-08,15.0,0.0,0.00023950833333333328,3.823156155391221e-06,0.00023950833333333328,3.823156155391221e-06,0.0,0.0,0.0,1.5967222222222223e-05
Criteo Attribution,50.0,Random,1.0,0.4850649179789605,0.18884694915705275,0.19994354425561398,3.893635233854185e-08,30.0,0.0,0.00047901666666666656,7.646312310782442e-06,0.00047901666666666656,7.646312310782442e-06,0.0,0.0,0.0,1.5967222222222223e-05
Criteo Attribution,75.0,Random,1.0,0.7250771997973268,0.11202676638391353,0.19994355877338243,4.2794960326561404e-08,45.0,0.0,0.000718525,1.146946846617366e-05,0.000718525,1.146946846617366e-05,0.0,0.0,0.0,1.5967222222222223e-05
Criteo Attribution,100.0,Random,1.0,1.0,0.0,0.19994356539738287,5.080918911658289e-08,60.0,0.0,0.0009580333333333331,1.5292624621564885e-05,0.0009580333333333331,1.5292624621564885e-05,0.0,0.0,0.0,1.5967222222222223e-05
