dataset,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,sis_score_sec_mean,sis_sort_sec_mean,average_unlearn_sec_mean
diabetes,100.0,SIS,0.9979163675288468,0.00484982125647402,0.5295398718008786,0.009985246379021267,54.93333333333333,0.4497764451088035,0.0011115933333333335,7.416548101854828e-05,0.0011048420000000002,7.187564027954027e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,10.0,FIFO,-0.10072799136825364,0.6057305856110756,0.5238479389483534,0.0026294641270696675,6.0,0.0,0.00011115933333333335,7.41654810185483e-06,0.00011115933333333335,7.41654810185483e-06,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,25.0,FIFO,0.01905251962678644,0.7153753588023971,0.52386867097898,0.003812408359040397,15.0,0.0,0.0002778983333333334,1.854137025463707e-05,0.0002778983333333334,1.854137025463707e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,50.0,FIFO,0.22767425524833187,0.6752635582580173,0.5277977082985361,0.0067371762603504505,30.0,0.0,0.0005557966666666668,3.708274050927414e-05,0.0005557966666666668,3.708274050927414e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,75.0,FIFO,0.46071072038341754,0.5429046408617135,0.5295621802201357,0.007425664631496848,45.0,0.0,0.0008336950000000001,5.56241107639112e-05,0.0008336950000000001,5.56241107639112e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,100.0,FIFO,1.0,0.0,0.5297249612783057,0.010082235637646646,60.0,0.0,0.0011115933333333335,7.416548101854828e-05,0.0011115933333333335,7.416548101854828e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,10.0,Random,0.022285727303685422,0.42679558369280196,0.5239022671409627,0.0035717002326231184,6.0,0.0,0.00011115933333333335,7.41654810185483e-06,0.00011115933333333335,7.41654810185483e-06,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,25.0,Random,0.000698550098434821,0.7476390856742675,0.5250343992565712,0.004341625534523375,15.0,0.0,0.0002778983333333334,1.854137025463707e-05,0.0002778983333333334,1.854137025463707e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,50.0,Random,0.15809349104764342,0.9681915382444226,0.5268354530887841,0.006864933552357953,30.0,0.0,0.0005557966666666668,3.708274050927414e-05,0.0005557966666666668,3.708274050927414e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,75.0,Random,0.3204572472118132,0.8393255956238581,0.5290152106248416,0.008725005852558181,45.0,0.0,0.0008336950000000001,5.56241107639112e-05,0.0008336950000000001,5.56241107639112e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
diabetes,100.0,Random,1.0,0.0,0.5297249612783058,0.010082235637646644,60.0,0.0,0.0011115933333333335,7.416548101854828e-05,0.0011115933333333335,7.416548101854828e-05,8.224333333333335e-05,4.7166666666666675e-06,1.8526555555555554e-05
large_synthetic_n2000_d26,10.0,SIS,0.5380261475116771,0.31893121868327634,17.46932956739707,0.25889362932569115,0.9,0.30512857662936466,0.00012430400000000002,1.7804699108517033e-06,0.00011766533333333334,2.3889478284005958e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,25.0,SIS,0.8916974779525408,0.12438450179093946,17.55941157227539,0.38842580979576935,9.6,1.4044264997156128,0.00031075999999999993,4.451174777129258e-06,0.00029780755555555553,3.301171617552059e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,50.0,SIS,0.976106316572146,0.0281119290801925,17.636128397983832,0.3974401226355702,24.6,1.404426499715613,0.0006215199999999999,8.902349554258516e-06,0.0006085675555555556,7.5352859682459254e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,75.0,SIS,0.9964120655895904,0.004298380697923865,17.66613626999587,0.4097068109698488,39.6,1.404426499715613,0.0009322800000000001,1.3353524331387774e-05,0.0009193275555555556,1.1928505731694148e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,100.0,SIS,0.9998599921305596,0.00019535325830529545,17.67105159807634,0.41256830247260573,54.6,1.404426499715613,0.0012430399999999997,1.7804699108517033e-05,0.0012300875555555555,1.6353099924845434e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,10.0,FIFO,0.10907111688192209,0.20539976854490904,17.500906533548765,0.06597002960316184,6.0,0.0,0.00012430400000000002,1.7804699108517033e-06,0.00012430400000000002,1.7804699108517033e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,25.0,FIFO,0.35287922931123805,0.3540256573144976,17.569067176263662,0.12006490787175186,15.0,0.0,0.00031075999999999993,4.451174777129258e-06,0.00031075999999999993,4.451174777129258e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,50.0,FIFO,0.6362832002469765,0.3444596920114893,17.57062373398286,0.24107208308029543,30.0,0.0,0.0006215199999999999,8.902349554258516e-06,0.0006215199999999999,8.902349554258516e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,75.0,FIFO,0.7834324724149963,0.30223381329435045,17.628846913742148,0.27471174528338155,45.0,0.0,0.0009322800000000001,1.3353524331387774e-05,0.0009322800000000001,1.3353524331387774e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,100.0,FIFO,1.0,0.0,17.67194212338399,0.41304652678573694,60.0,0.0,0.0012430399999999997,1.7804699108517033e-05,0.0012430399999999997,1.7804699108517033e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,10.0,Random,0.14084675301393831,0.26384194848518483,17.4992121754725,0.07094848976350543,6.0,0.0,0.00012430400000000002,1.7804699108517033e-06,0.00012430400000000002,1.7804699108517033e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,25.0,Random,0.2420205148891264,0.3031559193671664,17.499208233075045,0.14936041137745648,15.0,0.0,0.00031075999999999993,4.451174777129258e-06,0.00031075999999999993,4.451174777129258e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,50.0,Random,0.4874306066521932,0.35646547976971293,17.536086865537136,0.2697911423608682,30.0,0.0,0.0006215199999999999,8.902349554258516e-06,0.0006215199999999999,8.902349554258516e-06,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,75.0,Random,0.8162368314684475,0.28240555764731295,17.578349672150903,0.3633737501459012,45.0,0.0,0.0009322800000000001,1.3353524331387774e-05,0.0009322800000000001,1.3353524331387774e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
large_synthetic_n2000_d26,100.0,Random,1.0,0.0,17.67194212338399,0.41304652678573744,60.0,0.0,0.0012430399999999997,1.7804699108517033e-05,0.0012430399999999997,1.7804699108517033e-05,9.428999999999998e-05,4.76e-06,2.0717333333333332e-05
